Issue_URL,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Final_Label
https://github.com/NVIDIA/Megatron-LM/issues/1516,A.3,A.3,A.3,A.3,A.3,A.3,A.3,A.3
https://github.com/NVIDIA/Megatron-LM/issues/1515,C.5,C.5,C.1,C.1,C.5,C.5,C.5,C.5
https://github.com/NVIDIA/Megatron-LM/issues/1514,C.5,C.5,C.5,C.5,C.5,C.5,C.5,C.5
https://github.com/NVIDIA/Megatron-LM/issues/1513,C.4,C.4,C.4,C.4,C.4,C.4,C.4,C.4
https://github.com/NVIDIA/Megatron-LM/issues/1512,C.6,C.6,C.6,C.6,C.10,C.6,C.5,C.6
https://github.com/NVIDIA/Megatron-LM/issues/1511,B.2,B.2,B.2,B.2,B.2,B.1,B.1,B.2
https://github.com/NVIDIA/Megatron-LM/issues/1510,A.3,A.3,A.3,A.3,A.3,A.3,A.3,A.3
https://github.com/NVIDIA/Megatron-LM/issues/1509,B.2,B.2,B.2,B.1,B.4,B.2,B.2,B.2
https://github.com/NVIDIA/Megatron-LM/issues/1508,C.5,C.5,C.5,C.5,C.5,C.5,C.4,C.5
https://github.com/NVIDIA/Megatron-LM/issues/1507,B.1,B.1,B.1,B.1,B.1,B.1,B.4,B.1
https://github.com/NVIDIA/Megatron-LM/issues/1506,C.9,C.9,C.9,C.9,C.9,C.9,C.9,C.9
https://github.com/NVIDIA/Megatron-LM/issues/1505,C.9,C.9,C.9,C.9,C.9,C.2,C.9,C.9
https://github.com/NVIDIA/Megatron-LM/issues/1504,A.2,A.2,A.2,A.2,A.2,A.2,A.2,A.2
https://github.com/NVIDIA/Megatron-LM/issues/1503,C.3,C.3,C.4,C.3,C.3,C.3,C.3,C.3
https://github.com/NVIDIA/Megatron-LM/issues/1502,C.9,C.9,C.9,C.9,C.9,C.9,C.9,C.9
https://github.com/NVIDIA/Megatron-LM/issues/1501,C.4,C.4,C.4,C.4,C.4,C.4,C.10,C.4
https://github.com/NVIDIA/Megatron-LM/issues/1500,C.5,C.4,C.5,C.5,C.5,C.8,C.5,C.5
