rootcause,subcategory,symptoms
System Compatibility and Integration Failures,"Build、 Installation、 and Low-Level Support Failures","Compilation failure、build error、platform not supported,Extension module build failure、missing library or link error,Pre-build failure、compilation error or missing dependency library,Unable to build wheel、missing compiler or incompatible compilation flags,CUDA extension or CUTLASS path not found,Installation failure、path configuration error、import migration failure,Code build error (such as simd_load missing parenthesis、hipify failure),Build failure (missing dependency or path error)、CUDA component missing,Missing library files、build script error、header file not declared,Missing ROCm library in build,Cuda library missing,Module import failure,Installation/compilation failure or missing header file、undefined symbol、compilation error,Project addition failed due to unsupported PEP 517,Missing cuda header files、__double2half and other symbols、build failure or inference error,cl.exe error or build failure,Failed to build successfully、installation failure、error undefined symbol or compile error,Missing some libraries or symbols causing ImportError/ModuleNotFoundError,Installation failure or runtime error,Import failure or attribute missing (such as torch.compiler.is_compiling),Compilation error or runtime interruption,Failed to extract git information or build failure,Unable to build or install,Installation failure、import error、compilation failure,Benchmark folder mistakenly included"
System Compatibility and Integration Failures,Operator Compilation and Backend Support Failures,"Missing extension、Triton incompatible with CUDA、build error,hipSuccess failure during build,Runtime compilation failure"
System Compatibility and Integration Failures,Versioning and Compatibility Breakages,"Inconsistent methods/types between old and new torch versions causing compilation or test failures,Triton 2.1 API changes,Torch nightly incompatible,DeepSpeed version mismatch with Pydantic、Cupy、Apex、Pytorch and other libraries leading to build failure or runtime crash,Pytorch、Torch version check failure、libaio、triton missing、Windows build failure,Transformers or torch version change causing functional anomaly,dlpack、triton、libuv、transformers upgrade causing runtime or build failure,New versions of Triton、Torch >=2.3、transformers、cuda causing errors"
System Compatibility and Integration Failures,Environment Dependency and Toolchain Compatibility Bugs,"PMI initialization failure、PMIX spelling error or env error,CUDA string hardcoded、environment variables not suitable for NPU or device usage error,Setting CUDA_VISIBLE_DEVICES causes invisible or incorrect device usage,Missing dependencies、Docker or Windows installation failure,OpenMPI interface hardcoded、incompatible with torch 2.0,Bash shebang writing、path handling、delete command incompatibility causing installation failure"
System Compatibility and Integration Failures,Hardware and Accelerator Adaptation Failures,"HPU backend incompatible with default backend causing test_set_compiler_fn error,Unable to locate GPU device handle、error during training initialization stage,Inference or training error or performance anomaly due to incomplete hardware support、functions undefined or data error in MPS、ROCm、NPU,XPU/NPU/MPS/HPU/ROCm and other non-NVIDIA platforms not recognized、inference failure or missing key ops,Training/inference failure on AMD/XPU/HPU/NPU and other non-NVIDIA platforms,Error at program startup unable to recognize GPU topology,CPU inference failure、tensor cross-device conflict,rocblas include missing、NPU UT skipped、HIP error,ROCm/HIP/NPU platform function failure or build error,MPS error、4090 GPU deadlock、regex cannot be parsed on Mac,CPU parameter mismatched with CUDA,Build failure、unable to use specific hardware,Building DeepSpeed on different platforms (such as M1/M2、MI200、ROCm) causes nvcc error or intrinsic missing,MI300X GPU training error"
System Compatibility and Integration Failures,Platform and Deployment Bugs,"Build or installation failure in Databricks、Windows、WSL、ROCm environments,Unable to build/run、prompt for missing platform-specific library or abnormal behavior,Compilation or runtime failure in Windows、ROCm、Pydantic 2.5 and other environments,ROCm、Windows environment build failure or feature unavailable,Incompatible with ROCm/K8S/NPU and other platforms、version conflict,Build error or path incompatibility on Windows 11、ROCm、AMD GPU and other platforms,Build failure or module not found on Mac/Windows/AMD platform or Python version,os.rename fails on Windows,Windows build failure,GPU detection failure in Docker image、NVML initialization failure、libaio configuration anomaly,Windows does not support GDS、MacOS hostname error、Apple Silicon incompatible,Running failure or missing feature in Windows、WSL2、PowerLinux、Ascend 910B and other platforms,Build/run failure in Windows、ROCm、XPU、MPI、Docker and other environments"
Resource Efficiency and Memory Management,Scheduling and Parameter Management Bugs,"Task imbalance across devices causes some devices to OOM or have extremely low utilization,Insufficient GPU memory、OOM or improper batch size setting during training,lp grads not cleared or improperly partitioned、leading to increased memory usage or training failure,Overflow or runtime exception occurs during offload,Incorrect training resource estimation、leading to OOM or inefficiency,KV cache state reused incorrectly or fp16 weights not cleaned properly,OOM、memory leak or backward time grows linearly,Repeated model loading during inference causes continual memory increase or overflow,Redundant copies or CUDA initialization failure,Memory leak、forward hook mis-triggered、shard loading failure,Offload training or inference failure、OOM、memory not released,CPU memory spikes during Zero2/3/Infinity checkpoint、gradients not cleared,Multi-GPU inference unresponsive、Zero3 OOM、inference terminated abnormally,Lock file release abnormal、hooks not released causing memory leak,Under CPU migration strategy GPU memory not released、frequent OOM,After enabling CPU offload CUDA memory remains high、conflict crash,Pipeline + accumulation causes CUDA OOM、communication desynchronization,Memory not correctly released、checkpoint buffer error,GPU memory usage far exceeds expectation、gradients not properly released,OOM during training、logits diverge、process hang,OOM、memory leak,Parameters not released,Zero3 GPU memory usage abnormal、checkpoint restoration incomplete、grad_bias calculation error、parameter states inconsistent,Memory leak、process OOM、repeated task runs exhaust resources,Uncontrollable memory growth during training (such as contiguous gradients),CUDA OOM occurs during training or inference、training failure、generation error,Frequent CUDA OOM triggers、memory leak or abnormal memory allocation during training or inference,Frequent OOM、illegal memory access or unreasonable memory configuration during training or inference、causing crash or performance degradation,Parameters not initialized、memory leak、duplicate data pointers、stage transition error causing training failure,NoneType error or abnormal termination when all experiments OOM,Memory not released、gradients not collected or behavior deviates from expectation,Main process memory continuously grows,OOM、memory leak、NCCL communication crash、unexpected resource binding during training or inference,Frequent OOM or illegal access errors in multi-GPU or large model training,Causes memory leak or unstable testing,Leads to insufficient GPU memory or memory overflow,clone or grad function not releasing resources causing GPU or CPU memory growth,Memory overflow during model initialization,Buffer overlap、repeated allocation、not released causes GPU memory overflow (OOM) or temp_buf conflicts with output,CPU/NVME offload state confusion leads to loss not decreasing or parameter position error,OOM error / high GPU memory usage / GPU unresponsive,GPU memory overflow (OOM) but monitoring shows no anomaly,Still OOM when training large models (e.g. T5、OPT) with DeepSpeed；memory exhausted during inference,CUDA memory overflow during MoE model training,OOM (memory overflow) during inference causes server crash"
Resource Efficiency and Memory Management,Performance Optimization and Monitoring Failures,"Increased processes affect training efficiency、low GPU utilization,Zero inference is slow、GPU utilization is low、poor results,Low GPU utilization、training speed drops、memory overflow or OOM,Memory optimization ineffective or increases abnormally,cudaMemcpyAsync takes too long、reduce_bucket_size is unreasonable,Offload performance degrades or crashes、NVMe checkpoint error,Torch allocator inaccurate、GPU utilization uneven,ZeRO3 consumes more memory than Stage2,Model training slows down、memory usage unbalanced、communication hangs,Such as statistics method failure、large model CPU loading exhausts memory、too many reduce operations,Only half of CPU cores used,Gradient checkpoint uses excessive memory、GPUUtil stays at low utilization,Zero2&Zero3 configuration ineffective causing memory not to decrease,GPU count increases but memory does not decrease、CPU offload ineffective、inference performance decreases instead,Inference speed slows down,Slow inference speed,Inference performance decreases or latency increases"
Resource Efficiency and Memory Management,Quantization Accuracy and Inference Performance Bugs,"8bit dequantization performance poor、bf16 overflow check missing,Using FP16/BF16 causes GPU memory computation error or memory leak,Quantized model insufficient CUDA memory,Extremely slow speed or excessive latency during quantization processing"
Distributed and Parallel Execution,Distributed Communication and Initialization Bugs,"Multi-node or distributed training error、training hangs or timeout,Incorrect world size、node communication failure,Resources not correctly recognized in multi-GPU or multi-node training、scheduling failure or OOM,Assertion failure or training stall when setting global variable/mesh device/world size,NCCL timeout、ZeRO partition issue or fusion failure,Process rank anomaly or device error,Model sharding configuration error、Zero stage parameters inconsistent、allgather overlap ineffective,Connection timed out、MPI parameters unset、multi-node training failed,Intel MPI binding conflicts with launcher configuration,NCCL error during training,Multi-node training failed,world size setting error,Inconsistent rank,Unequal GPU counts in multi-node training causing rank error,MPICH launcher failure、RANK calculation error、CUDA_VISIBLE_DEVICES setting ineffective、worker count inconsistent with config、RANK calculation error,Unequal GPU numbers across nodes causing rank mismatch or load anomaly,Issues such as ZeRO3、distributed initialization、rank mapping cause training hang or launch failure,.id attribute assigned repeatedly causing GPU placement error,Non-master node mistakenly calls init leading to multi-node hang"
