Issue_URL,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Final_Label
https://gitee.com/mindspore/mindformers/issues/IC3H37,B.4,B.4,B.4,B.4,B.4,B.4,B.4,B.4
https://gitee.com/mindspore/mindformers/issues/IC2YD7,C.5,C.5,C.9,C.5,C.5,C.10,B.2,C.5
https://gitee.com/mindspore/mindformers/issues/IC2UL5,B.2,B.2,B.2,B.2,B.2,B.4,B.2,B.2
https://gitee.com/mindspore/mindformers/issues/IC2S9M,C.6,C.6,C.6,C.4,C.6,C.6,C.6,C.6
https://gitee.com/mindspore/mindformers/issues/IC2QL4,B.3,B.2,B.3,B.2,B.2,B.2,B.2,B.2
https://gitee.com/mindspore/mindformers/issues/IC24VI,C.10,C.6,C.6,C.3,C.4,C.6,C.6,C.6
https://gitee.com/mindspore/mindformers/issues/IC20ZM,A.2,A.2,A.2,A.2,A.2,A.2,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IC20VI,A.3,A.3,B.1,A.3,A.3,A.3,A.3,A.3
https://gitee.com/mindspore/mindformers/issues/IC1XN6,A.3,A.3,A.4,A.3,A.3,A.3,A.2,A.3
https://gitee.com/mindspore/mindformers/issues/IC1X7N,B.4,B.4,B.4,B.3,B.4,B.4,B.4,B.4
https://gitee.com/mindspore/mindformers/issues/IC1PTK,A.2,A.2,A.2,A.4,A.2,A.2,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IC1N6M,A.3,A.3,A.3,A.3,A.3,A.3,A.2,A.3
https://gitee.com/mindspore/mindformers/issues/IC1GF4,A.3,A.3,A.3,A.2,A.3,A.3,A.3,A.3
https://gitee.com/mindspore/mindformers/issues/IC187V,B.2,B.3,B.2,B.2,B.2,B.2,B.2,B.2
https://gitee.com/mindspore/mindformers/issues/IC0M7R,A.2,A.2,A.2,A.1,A.2,A.2,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IC0FNY,A.3,A.2,A.2,A.2,A.2,A.1,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IC01PC,C.2,C.9,C.9,C.9,C.9,C.9,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IC00HZ,A.2,A.2,A.4,A.1,A.2,A.2,A.4,A.2
https://gitee.com/mindspore/mindformers/issues/IBZWRO,A.3,A.3,A.3,A.3,C.6,A.3,A.3,A.3
https://gitee.com/mindspore/mindformers/issues/IBZVAC,B.3,B.2,B.2,B.2,B.2,B.2,C.3,B.2
https://gitee.com/mindspore/mindformers/issues/IBZHSL,A.3,A.3,A.1,A.3,C.9,A.3,A.3,A.3
https://gitee.com/mindspore/mindformers/issues/IBZEZJ,C.9,C.10,C.9,C.6,C.7,C.9,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBZ4LX,A.2,A.2,A.4,A.2,A.2,A.1,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IBZ471,B.1,B.1,B.1,B.1,B.1,B.1,B.1,B.1
https://gitee.com/mindspore/mindformers/issues/IBYR84,A.3,A.1,A.3,A.3,A.4,A.3,A.3,A.3
https://gitee.com/mindspore/mindformers/issues/IBYMFB,C.1,C.3,C.4,C.3,C.3,C.6,C.3,C.3
https://gitee.com/mindspore/mindformers/issues/IBYK7R,C.4,C.4,C.4,C.4,C.4,C.9,C.7,C.4
https://gitee.com/mindspore/mindformers/issues/IBYK6J,B.2,B.2,B.2,B.2,B.2,B.2,B.2,B.2
https://gitee.com/mindspore/mindformers/issues/IBYGDC,C.7,C.5,C.3,C.5,C.5,C.5,C.5,C.5
https://gitee.com/mindspore/mindformers/issues/IBYDHJ,A.1,A.2,A.2,A.2,A.2,A.2,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IBY4XV,C.6,C.9,C.9,C.9,C.9,C.4,C.3,C.9
https://gitee.com/mindspore/mindformers/issues/IBY39R,A.3,A.3,A.3,A.3,A.3,A.3,A.1,A.3
https://gitee.com/mindspore/mindformers/issues/IBY39J,A.3,A.3,A.3,A.1,A.3,A.3,A.3,A.3
https://gitee.com/mindspore/mindformers/issues/IBXH45,C.9,C.4,C.9,C.9,C.9,C.9,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBX1QC,B.1,B.1,B.1,B.1,C.5,B.1,B.2,B.1
https://gitee.com/mindspore/mindformers/issues/IBWV4D,B.4,B.4,B.4,B.4,B.4,B.4,B.4,B.4
https://gitee.com/mindspore/mindformers/issues/IBWV1Q,A.3,A.1,A.2,A.3,A.3,A.3,A.3,A.3
https://gitee.com/mindspore/mindformers/issues/IBWJKE,B.2,B.2,B.2,B.2,B.2,B.2,B.2,B.2
https://gitee.com/mindspore/mindformers/issues/IBWIVZ,C.9,C.9,C.9,C.9,C.5,C.9,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBWGLJ,B.4,B.2,B.2,B.2,B.2,B.2,B.2,B.2
https://gitee.com/mindspore/mindformers/issues/IBW8OY,C.9,C.9,C.9,C.9,C.9,C.6,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBW5DA,C.9,C.8,C.6,C.9,C.9,C.9,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBW3L5,C.1,C.9,C.9,C.9,C.6,B.3,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBW3IV,C.4,C.7,C.4,C.2,C.4,C.3,C.4,C.4
https://gitee.com/mindspore/mindformers/issues/IBW328,B.2,B.2,B.2,B.2,B.2,B.2,B.3,B.2
https://gitee.com/mindspore/mindformers/issues/IBW1AS,A.3,A.3,A.3,A.3,A.3,A.3,A.3,A.3
https://gitee.com/mindspore/mindformers/issues/IBVY2Q,A.2,A.1,A.2,A.2,A.2,C.5,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IBVL16,C.8,C.9,C.9,C.9,C.9,C.9,C.4,C.9
https://gitee.com/mindspore/mindformers/issues/IBVKDR,C.7,C.9,B.3,C.9,C.9,C.9,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBV9AS,A.2,A.2,A.2,A.2,A.2,A.1,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IBV94T,B.2,B.4,B.2,B.3,B.2,B.2,B.2,B.2
https://gitee.com/mindspore/mindformers/issues/IBV35D,C.3,C.6,C.6,C.6,C.6,C.6,C.6,C.6
https://gitee.com/mindspore/mindformers/issues/IBV2T0,C.8,B.2,B.2,B.2,B.2,B.2,B.2,B.2
https://gitee.com/mindspore/mindformers/issues/IBUTY1,C.9,C.9,C.9,C.2,C.9,C.4,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBUNZA,A.2,A.2,A.2,A.2,A.2,A.2,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IBUNZ6,C.5,C.5,C.3,C.5,C.5,C.4,C.5,C.5
https://gitee.com/mindspore/mindformers/issues/IBUFFQ,A.2,A.2,A.2,A.2,A.3,A.2,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IBUERN,C.9,C.3,C.9,C.6,C.9,C.9,C.9,C.9
https://gitee.com/mindspore/mindformers/issues/IBTTMZ,B.4,B.4,B.4,B.4,B.2,B.4,B.3,B.4
https://gitee.com/mindspore/mindformers/issues/IBTMCU,C.2,C.6,C.6,C.6,C.6,C.6,C.6,C.6
https://gitee.com/mindspore/mindformers/issues/IBTGR9,B.1,B.1,B.1,B.1,B.2,B.1,B.1,B.1
https://gitee.com/mindspore/mindformers/issues/IBTG4A,B.1,B.1,B.1,B.1,B.1,B.1,B.2,B.1
https://gitee.com/mindspore/mindformers/issues/IBTBVK,B.2,B.1,B.1,B.1,B.1,B.1,B.1,B.1
https://gitee.com/mindspore/mindformers/issues/IBTBJK,C.6,C.6,C.6,C.9,C.6,C.2,C.6,C.6
https://gitee.com/mindspore/mindformers/issues/IBT9ZS,C.2,C.6,C.6,C.6,C.6,C.6,C.6,C.6
https://gitee.com/mindspore/mindformers/issues/IBT80K,C.6,C.2,C.6,C.6,C.4,C.6,C.9,C.6
https://gitee.com/mindspore/mindformers/issues/IBT6K1,A.2,A.3,A.2,A.2,A.2,A.2,A.2,A.2
https://gitee.com/mindspore/mindformers/issues/IBT6BT,C.6,C.1,C.6,C.6,C.6,C.7,C.6,C.6
https://gitee.com/mindspore/mindformers/issues/IBT199,C.3,C.5,C.3,C.3,C.3,C.3,C.3,C.3
https://gitee.com/mindspore/mindformers/issues/IBT0IP,C.6,C.8,C.6,C.6,C.6,C.6,C.1,C.6
https://gitee.com/mindspore/mindformers/issues/IBT0EM,B.2,B.1,B.2,B.2,B.4,B.2,B.2,B.2
