Framework,mindformers,mindnlp,Megatron-LM,TensorRT-LLM,vllm,MindSpeed,DeepSpeed,ColossalAI,mindspore,pytorch,tensorflow,Total
A.1.i,47,7,12,117,187,5,170,278,6,9,45,883
A.1.ii,11,1,5,17,76,0,21,37,4,0,2,174
A.2.i,184,21,201,383,607,13,234,158,11,17,36,1865
A.2.ii,7,0,11,30,271,1,57,31,9,10,5,432
A.3.i,16,1,67,71,86,0,4,11,2,3,0,261
A.3.ii,25,2,26,88,113,0,2,2,2,2,2,264
A.3.iii,38,6,21,25,58,0,1,1,4,2,1,157
A.4.i,36,3,6,19,30,0,16,7,2,0,6,125
A.4.ii,4,0,3,9,17,0,2,1,4,2,5,47
B.1.i,12,12,7,37,364,0,83,26,5,58,24,628
B.1.ii,11,10,6,29,181,0,20,4,2,3,5,271
B.1.iii,2,10,2,12,137,0,21,11,0,2,6,203
B.2.i,68,265,66,134,724,2,136,550,44,153,47,2189
B.2.ii,7,10,17,11,124,2,134,451,1,69,8,834
B.2.iii,7,45,11,1,13,0,3,13,2,1,0,96
B.2.iv,32,605,27,119,841,4,92,154,7,48,61,1990
B.3.i,29,26,16,64,380,1,20,118,7,53,20,734
B.3.ii,8,34,0,40,217,0,143,317,4,48,7,818
B.3.iii,17,1,3,7,150,1,4,1,9,70,6,269
B.3.iv,1,0,4,2,21,0,0,0,1,2,1,32
B.4.i,84,118,26,77,276,2,35,46,3,14,6,687
B.4.ii,1,0,4,20,66,0,15,59,0,2,0,167
B.5.i,21,27,30,50,662,0,87,64,12,212,75,1240
B.5.ii,5,6,7,2,20,0,11,4,1,16,0,72
C.1.i,30,18,11,150,368,4,96,23,46,194,285,1225
C.1.ii,15,4,3,81,109,0,30,6,382,131,22,783
C.1.iii,57,28,31,83,202,11,153,51,35,48,66,765
C.1.iv,7,8,0,9,113,1,32,12,21,13,3,219
C.1.v,20,25,5,51,326,2,47,7,73,100,57,713
C.1.vi,13,0,2,7,116,2,12,4,73,72,49,350
C.10.i,77,36,36,46,163,2,73,221,67,35,31,787
C.10.ii,4,0,3,1,47,0,10,24,4,8,2,103
C.10.iii,6,5,6,5,14,0,40,62,1,2,1,142
C.10.iv,7,13,0,0,117,0,33,93,82,6,1,352
C.2.i,54,7,18,81,260,1,174,61,58,86,28,828
C.2.ii,24,11,14,70,201,0,25,7,190,116,15,673
C.2.iii,1,0,0,16,107,0,16,6,28,18,13,205
C.3.i,36,0,24,79,302,1,305,134,36,136,19,1072
C.3.ii,4,1,12,41,80,3,229,74,20,121,40,625
C.3.iii,13,1,11,28,177,0,87,56,68,127,21,589
C.4.i,33,25,9,50,119,1,67,33,129,155,153,774
C.4.ii,26,13,16,64,68,1,71,15,61,87,64,486
C.4.iii,0,0,0,0,1,0,5,2,4,0,0,12
C.5.i,17,12,25,12,32,0,10,10,6,23,15,162
C.5.ii,18,0,6,3,17,0,7,5,98,35,20,209
C.5.iii,35,9,19,31,30,0,36,37,2,12,7,218
C.5.iv,2,3,9,2,15,2,49,30,5,12,6,135
C.5.v,101,15,3,103,379,0,4,9,16,34,16,680
C.6.i,18,6,12,9,17,0,11,12,35,10,29,159
C.6.ii,33,13,5,10,63,1,5,15,16,2,16,179
C.6.iii,19,1,4,14,70,0,5,11,15,0,6,145
C.6.iv,40,9,21,21,39,1,28,3,36,41,36,275
C.6.v,2,0,2,3,116,0,1,0,27,8,0,159
C.7.i,63,37,23,58,211,2,61,30,55,57,65,662
C.7.ii,68,15,26,71,115,0,36,18,37,78,53,517
C.7.iii,18,0,8,13,47,0,19,5,22,2,4,138
C.7.iv,5,0,4,15,71,0,14,6,11,11,1,138
C.7.v,4,1,2,4,17,0,3,0,6,19,14,70
C.8.i,21,52,14,71,192,3,74,53,15,115,29,639
C.8.ii,0,0,0,5,132,1,68,28,154,337,85,810
C.8.iii,20,4,2,11,80,0,18,15,40,96,146,432
C.8.iv,19,7,11,19,232,2,65,62,89,45,46,597
C.8.v,2,0,0,11,228,0,16,16,6,8,6,293
C.9.i,25,149,16,53,284,0,58,51,42,387,25,1090
C.9.ii,77,83,78,69,269,3,86,190,147,76,36,1114
C.9.iii,4,0,8,4,91,0,1,1,81,9,0,199
C.9.iv,25,1,11,9,154,0,32,10,159,58,18,477
C.9.v,35,4,6,34,174,1,8,0,199,62,100,623
C.9.vi,0,0,1,3,36,0,6,3,25,5,1,80
